SUBJID	PEER1	PEER2	PEER3	PEER4	PEER5	PEER6	PEER7	PEER8	PEER9	PEER10	PEER11	PEER12	PEER13	PEER14	PEER15
GTEX-1122O-1226-SM-5H113_PDUI	-0.0492677465081215	3.2578961395302e-07	1.38478640110407e-07	1.88288623803601e-07	7.62015375244118e-08	1.3798224074435e-07	-1.88985254112595e-08	8.36397440195924e-09	2.48223841481376e-08	-1.49963170770206e-08	1.53002499558852e-09	-4.00872135486452e-09	3.36450423077395e-09	3.83121623315219e-09	5.54326629043089e-09
GTEX-11EM3-1326-SM-5N9C6_PDUI	-0.0491172075271606	2.61696413872414e-07	7.49767359309317e-09	2.21358021690321e-07	7.4314137066267e-08	1.389971515664e-07	-1.790103709709e-08	9.51135437077255e-09	2.5312482776485e-08	-1.51680588089675e-08	1.64378843869883e-09	-4.00663369148901e-09	3.23346971420335e-09	3.6703580175157e-09	5.64744206954515e-09
GTEX-11EMC-2026-SM-5A5JV_PDUI	-0.0493536330759525	4.67192080577661e-07	3.4921924907394e-07	1.3516626040655e-07	7.0999234935698e-08	1.42021377769197e-07	-1.92914235697117e-08	6.9442083194815e-09	2.42607374190129e-08	-1.46601406569857e-08	1.38028777296739e-09	-4.00150534929367e-09	3.52777917989044e-09	4.06728783985955e-09	5.37007638357068e-09
GTEX-11GSP-0926-SM-9WYSG_PDUI	-0.0491953417658806	5.4469569477078e-07	1.48612471662091e-07	1.17780238895193e-07	7.47819228763547e-08	1.39127777742942e-07	-1.76648295990844e-08	8.55455795090165e-09	2.40221655900541e-08	-1.48494843088542e-08	1.48778234176916e-09	-3.942738580065e-09	3.17220538725849e-09	3.90698406960155e-09	5.48243050957353e-09
GTEX-11I78-2226-SM-5PNYA_PDUI	-0.0496918000280857	4.86944429667346e-07	1.72869690118205e-07	1.25946172602198e-07	7.93284868905175e-08	1.37677261591307e-07	-1.89631279567948e-08	8.38268654490548e-09	2.4238813622901e-08	-1.49542529470637e-08	1.48841006186728e-09	-3.9784100458462e-09	3.30148730576241e-09	3.95055810287204e-09	5.52064882697323e-09
GTEX-11P81-1926-SM-5BC53_PDUI	-0.0489879176020622	5.94338075643464e-07	1.77147114754916e-07	1.60832001938616e-07	7.47176827076146e-08	1.39528353315654e-07	-1.75011418690474e-08	7.81498954438575e-09	2.41727668992553e-08	-1.47406895578683e-08	1.59739677041415e-09	-4.01858635257213e-09	3.17388582082856e-09	3.95165722366642e-09	5.47215117663313e-09
GTEX-11ZTT-2326-SM-5EQLG_PDUI	-0.0499414056539536	5.13960742409836e-07	2.28568026727771e-07	1.01208435410172e-07	8.39705052158024e-08	1.37044310122292e-07	-1.90173476966038e-08	7.83962228467772e-09	2.39700188586767e-08	-1.49898493617684e-08	1.39623823613988e-09	-3.97219546144356e-09	3.35023453423844e-09	4.0274037438337e-09	5.4795119552864e-09
GTEX-1211K-1926-SM-5EQLB_PDUI	-0.049389012157917	2.26817391535405e-08	1.72010118149046e-07	1.98695673248039e-07	7.92534251559118e-08	1.38992504616908e-07	-1.97967278126043e-08	7.96477550579766e-09	2.53684966367018e-08	-1.51587258301333e-08	1.36650180060371e-09	-3.93686727662157e-09	3.64303187616599e-09	3.75055408952107e-09	5.5294662182348e-09
GTEX-12WSK-2226-SM-5GCO5_PDUI	-0.049671396613121	4.60112801192736e-07	1.33814182845526e-07	1.06059410143189e-07	7.88649003879982e-08	1.38282715056448e-07	-1.81186496917007e-08	8.67396909853824e-09	2.41242101850503e-08	-1.50359369399666e-08	1.43981415678951e-09	-3.92634813550785e-09	3.24036486532009e-09	3.89191301408687e-09	5.52994894320591e-09
GTEX-12ZZX-1126-SM-5EGKB_PDUI	-0.049344640225172	3.39055219455986e-07	2.63151747503798e-07	1.43832266985555e-07	7.08274754401828e-08	1.42233730571206e-07	-1.93722087260539e-08	7.3326011928998e-09	2.46121736324767e-08	-1.48468055627404e-08	1.38859057585705e-09	-3.97188681944272e-09	3.49215523165469e-09	3.93604837611861e-09	5.43523226426146e-09
GTEX-1313W-0826-SM-5EQ4T_PDUI	-0.0496678464114666	1.28673423205328e-06	3.73963388256016e-07	2.801199627811e-08	7.57232498926896e-08	1.37815703737942e-07	-1.65322493472786e-08	7.54775619782322e-09	2.22568043994897e-08	-1.4342720788818e-08	1.56106372273257e-09	-4.07781719502509e-09	2.90543611392025e-09	4.43967573815485e-09	5.31210009313554e-09
